Particulars,Amount (`),Particulars,Amount (`)
To Administrative expenses,-,By Gross Profit b/d,1,60,000
” Expenses,42,000,” Profit on sale of investment,80,000
” Depreciation,5,000,” Discount received,12,000
” Loss on sale of fixed asset,8,000,” Commission received,80,000
” Discount allowed,18,000,” Income from investments,5,000
” Commission given,50,000,” Interest deposits with principals,12,000
” Interest on deposits to dealers,18,000,” Interest bank deposits,20,000
To Capital A/c
Net profit,2,28,000,,
,3,69,000,,369,000
